,text,target
39,@Crownlessking badtimes mate  its not fair and nothing anyone can say is guna make it easier or better but we're here for you xx,1
40,"on a somber note, this will be the first LA Lakers championship celebration without Chick Hearn. ",1
41,@hollywoodintern I won't b @ my church 4 the next 3 Sundays ,0
42,I just finished walking Apache... now I'm a sweaty ninja!kitty ,1
43,"Brother surprised me and took to play minigolf paying.28 degrees warm.Did some cleaning of apartment and laundry,not fun ",1
44,http://twitpic.com/6g7ok - Too bad the orange one died  R.I.P.,0
45,@lunatyc  thinking of you guys! hope everything is ok,1
46,BOREDDD. Wanna play some BF heroes. ,1
47,This is the 5th time I've had hicups today ... Oooh please make them go away  I just want to go to sleep ...,0
48,Its restored but I think I've lost photos taken on iphone ,0
49,It took me a half hour to get to work this morning. I wish I lived in Bethesda with @missFarida. Only in my wildest dreams ,0
50,Hungry!I totally need some food right now.. aww tomorrow weekend's over  that's a mess!,0
51,I'm really not looking forward to going into work today   Weather's too nice outside!,0
52,@TheBuGz mine is not working then .. ,0
53,i hate robin hood. why did alan have to die?  but the really cool sheriff's back! wooo! so i still love it!,0
54,"Every night lately, I'm suffering with terrible insomnia. Someone @ reply me a cure. I need help  I need to sleep...",0
55,@Haus_OfEmily But it was really scary! And I tried to get out one of the doors and it was locked so I thought I was locked inside ,0
56,@CityGirl912 I guess it is my fault... ,1
57,@Jonah599 Thanks for the rain song.  It's still raining here too.    But music brings the sun!  What was your first &quot;Yay!&quot; for?,1
58,hates bhindis or red spots! Poor Daniel ,0
59,am running out of orange juice :s - worse than having nee pot this ,0
60,ok I am actually ganna start reading again ,0
61,Hi all. Dismiss any overemotionalism or overreacting... I am just in a mood. ,1
62,"@JuliaZBIRD dude, i should have watched hangover with her  i still need to see it!!",1
63,boo for Blackberry having extra characters for texts. ,1
64,Trying to make sense of Prism in Silverlight... unzipped the Feb09 package from MSDN but can't find those dlls I'm looking for... weird.. ,0
65,@liz_danes what holiday is it?  I'm so outta QLD loop these days! *sad face*,0
66,@carlottap but i wont be in LA. ,0
67,@aprismyth oooh I can't! I'm at my grans  now I'll be left out :'(,0
68,Lookin forward to 5s tonight workin mon to thursday next week ,1
69,@tubee I guess it's quite hard to do business with close friends ,0
70,Emmaus has had a fever for two days and has been crying for three hours. The best part is that we have to get up at 3:30 for a flight  #fb,0
71,@Lzephyr boo  I'm in the SAR &quot;working&quot; on my portfolio XDD,1
72,my face hurts me ,0
73,last night in btownn  lets get rowdyyy,0
74,@GatotWranger Security took a beach ball ,0
75,"Morning twitter folks! I plan to get some sculpting/painting done myself this afternoon, been too long since I picked up my brushes ",1
76,@BeckyLou2 oh no ,0
77,"Im sad ='[ why did parents have to be so difficult  , GOSH i hate life, why couldnt i be american? I have the eurge to DANCE (:",0
78,thunderstorms = no fun  .....unless you have someone to watch them with baha,1
79,@xosandy Stupid pigs... ,0
80,Sum 1 please help I'm a twitter novice an dnt know wot I'm doing   http://twitpic.com/7w5m9,1
81,"You know you can't give me what I need. And even though you mean so much to me, I can't wait thru everything. Is this really happening? ",0
82,My stupid computer isn't fast enough for me to watch the pre-telecast tonys ,0
83,"wait, now i feel kinda bad for her. ",0
84,"@vipvirtualsols it was on tinychat rather than ustream, and so far as I know it doesn't save the video ",0
85,@mrrehwaldt I'm really sorry to hear that. ,0
86,at the house wit keya... good day.. miss my boo  see u l8r,0
87,@midohyo T_T soompi it? aww...but we talked it down to such a low price and the lady got pissed off too ,0
88,"@HomeBizLiz  just FYI, I changed my twitter button because it STILL wasn't working. I liked my old one better ",0
89,"&quot;I don't ever want to 'not' talk to you, if that makes sense?&quot; ... what a difference a year makes. ",0
90,"is fed up to the back teeth of back-peddlers, blame-shifters and back-stabbers. ",1
91,wish_artists_could_ProPerLY_id__their-tracks_BEfore_rushing _them__out (150bpm) ,1
92,@swellvintage i'm freezing too ,0
93,And they also have pursuit of happyness on tv  that movie makes me cry an to think it was based on a true story ,0
94,"@xonancy and the more recent set pics of HP showed emma and her bf  lol but then again, anything's possible! haha look at Robsten ;)",1
95,Thinkin about my nap that i cant take for 5 hours ,0
96,Going to the doctor tomorrow. Think there may be something wrong with my gall bladder or I may have an ulcer. Idkk we'll see tomorrow. ,0
97,I'm so ready to go to Michigan and see my parents and friends.  Not looking forward to getting my wisdom teeth pulled on Thurday though. ,0
98,@littleangel6147 Hey Stacey! I´m fine! B-day is over  But tomorrow is my fathers b-day and in a week my mum´s ;o),1
99,@kyoisorange She's doing wembley 23rd of november. i wants to go so bad ,0
100,@christiemaine i did actually get off the computer haha.. the antiobiotics i have are massive too ,0
101,have a feeling about me failing tomorrow  happy about it not being an exam,0
102,Big ol bed to myself! Just me &amp; this turtle! I misssss daddy!  gn tweets! Xoxo -liz&amp;&amp;tahj,1
103,says Just ate Ulam Burger at 8oz. lang pinakain sakin  (annoyed)....cause? Above normal Uric Acid ko.  http://plurk.com/p/yrzxl,1
104,damn. I should have gotten a TomTom. You can get a Homer Simpson voice skin now. ,1
105,rented Valkaryie on DVD last night.....very good!   Now i need to cut my grass. ,0
106,i am getting ready for a whole lot of work today at college ,1
107,awake already..... ,0
108,We just got in from our midnight dig walk. So nice. It's scary to know that rapes have been taking place so close to here ,1
109,is feeling sooooo sick  can't sleep.. kinda nauseous.. crampy ,0
110,There is always 2 sides to the story too bad people are not willing to listen like sheeps they follow whatever the one other side says!!  ,0
111,"@nadiaparry I liked Ben  I wanted a Ben Debra final, but I am reliably informed I am the only one who wanted that.",0
112,Has finished series 5 of #thewire. Feel as tho am in mourning at the prospect of no more ,0
113,@plphotography last night was busy after tha fight. I didn't even get a chance to look into the crowd and report ,0
114,"@Bren_311 futurama episode jurassic bark. i've cried every time i watched it, so the layout will probably be very sad. ",0
115,Had a bad nite &amp; woke up with a headache AND a tooth ache  have a feeln its gonna be a bad day  _XOXO! ,0
116,mmm no... big brother wasn't legendary ,0
117,@markh110 I'm sorry i disappointed you Mark Harris ,0
118,@sporkhead Aargh! Those pics won't display on my iPhone. ,1
119,i need more time for my tests!!!!!! (poor maddy  all the paparazzis must be ashamed!!!),0
120,Peter Pete Pete of Lionhead is on (: Let's get ready to get promised something he won't deliver  #XboxE3,0
121,Seems the good weather has gone away for a bit. Raining here. ,0
122,"Waiting for train to depart, suddenly feeling melancholy. I tend to do most things alone. ",0
123,*twisted.. gahh studying is making screw up my commercial ,0
124,@kisshippie13 It's where my heart beats irregularly so sometimes I have to wear a heart monitor. It sucks ,0
125,@AIversonBabe  I saw that on FB!  I want my kiiiiiit!  I want an airbrush kit sooooo bad! Saving up for it ,0
126,@wattle_neurotic  I'm bored too ,0
127,@SweetSin2Men Girl sittin here watchin &quot;EXTRA&quot; lol bored and alone lol ,1
128,gah! old people parties are lame! i hate constant fake smiling ,0
129,Okaaay. Now I'm on my way to the movies. I'm so tired. My stomach is empty ,0
130,@marcflores no  how are you? Recovered from your jet setting?,1
131,@joeydarwish The thread is kind of boring now since your 2nd warning.  I'm not entertained anymore... though very less agitated!,0
132,@eliseATL i dont pass a wendys though. ,0
133,@kirilouise  so mean to me sigh.,0
134,wants to dyeeeeeeeeeeeee hair! ,1
135,- out for a late night cigarette. Can't sleep. ,0
136,"Never heeded to DD's...But now?? a lesson well learnt, albeit an expensive one,very expensive indeed ",0
137,Almost had a run in with a frienemy.. My ex bff. ,1
138,"@cheergod2002 unfortunately not yet, we have to wait till &quot;the end of the summer&quot; according to att  ",0
139,One hour downtime tomorrow! What am I suppose to do without twitter for AN HOUR!? ,0
140,FREE COMIC BOOK DAY... - Enjoy it for me while I am working  http://tumblr.com/xf81p38ep,1
141,Thinking what to do tonight cuz tomorrow..I'll be stuck at work till 11 ,0
142, bryan wants on right now. if i can get on when hes done i will. TXT MEEEEEE!,0
143,"Just looked around a uni. Wow way too many subjects to choose from, I duno what to do ",0
144,"ufffffffffffffffff, ke gorom!!!! need to a pond to swim ",1
145,Too slow this time... 12000th position ,1
146,We tried to trace them to let them know but we don't have contact for them so some poor woman is losing all her money right now ,0
147,@backstreetboys boys are you going to come back to argentina??? please tell me.i still don't see a tour date in south america ,0
148,@concep WTF and u didn't invite us ,0
149,Damnit i hate when they show in the next commercial who won the duel that i haven't seen! Aaaahh boo ,0
150,bad hair day ,0
151,Is feeling sick all thanks so lack of sleep and didnt even get to see jake  darn.,0
152,I hate when i give hugss to people that dont even try to hug me back. Its a waste of a good hug ,0
153,@shiningCHER yup back @ it 2morrow....next day off-Saturday.... ,0
154,"Sad that my parents have left to go home...I'm in Sacramento, CA and they are in Florida... ",0
155,doin ma coursewrk  which is givin me a headache ,0
156,"Cutco, your knives are so nice and sharp! Great in the kitchen. Not great in my thumb. ",1
157,shd i swim.... it's cloudy ,0
158,cant go to dancing ,0
159,"@Djalfy haha, u know it!!! i'm sorry i had to run from the show,i had errands to run! ",0
160,Is scratching the pool idea...it's raining AGAIN ,0
161,Misunderstood ,1
162,"@ChuckNerd well, if I don't have to buy anything and can make something with what we have, then I do! But I have cooked in a few days. ",0
163,@jess_0000 being stood up is the worst thing in the world ,1
164,Just received tragic news ,0
165,Pulled an all nighter. Ugh... sooooo tired ,0
166,I'm still shocked about what happened yesterday but I am looking forward for going to cinema with Marina &lt;3 hope it destracts me a bit  &lt;3,0
167,when is this going to get easier?  and why the hell am I so sad about it?,0
168,can't sleep missin my husband alreay ,0
169,I keep trying to change my pic won't work ,0
170,is so worried... swine flu is continuously invading the philippines!  hope they could invent vaccines ASAP! ... http://plurk.com/p/y5tgz,1
171,I don't even get a full 30 min break today ,0
172,Might have to go back to the doctors. My leg that has SOMETHING wrong with it is killing me. AHHH ,0
173,uuu twitter de pe blackberry. foarte misto dar nu e stilizat ,1
174,@christina_savs and then we're no one  boo that stinks hahah but yes! the three forms of miley!,1
175,@rachyyface damn my parents would never let me get that shit ,0
176,"@vrtsflipflop unfortunately, her bf's name is Jon.. and in the heat of the argument I may have wished him to wrap his truck around a tree ",0
177,Love fun in the sun.  But dont want to work! ,1
178,Put &quot;invisible shield&quot; on new iphone. Involved misting shield with water. Now can't use my new phone for &quot;12-24 hours&quot;. Hmmmmm  ,1
179,Agh damn ,0
180,I hate flatpack furniture ,0
181,Getting ready for school.  don't you just hate Monday mornings?,0
182,Overwelmed with school!! Not enough hours in the day!!! ,1
183,so sick of lame ass niggaz;;i dont think ill ever find somebody dat will like mii 4 mii ,0
184,@simplowdfan Nope ,1
185,my face hurts! and my heart  my sister leaves today.,0
186,Hungry. Want to eat hotdog ,0
187,"@shesbatty Sadly yes  So yes, people read this!!!",1
188,"nearly sleeping. unfortunately, tomorrow i have classes. the same f*ckin' routine will start again  see u all again soon, byyeee",0
189,will not be able to sleep peaceful tonight ,0
190,The weekend when by too quicky ,0
191,@GeneSzumowski  Gene!  Here's my super sad face     Oooooooh Nuggets!,0
192,I do not feel well ,0
193,so lazy to go out and have lunch ,1
194,"@CharlesParry 'Poetic Justice', I think they call it, Charles ",1
195,"nooooo, my checking account balancee ",1
196,Not ready for summer school ,0
197,"Too addicted to FFXI, I forgot I had twitter ",0
198,oh noes!!!! Blend just crashed on me!!!! lost a bunch of stuff ,0
199,I know I'm supposed to be lying down and resting. But I really have LOTS to do still. ,0
200,Not feeling Bing cause it hasn't indexed my website ,0
201,misses @toonhippie like nobody's business ,1
202,@jimcarlow You'll have to ask her... I'm worried it didn't go well as she left early then sort of blew him off today... ,0
203,Hung over... And on my way to a shoot... Did I mention I'm running late? ,0
204,thursday suppose to go out with them. but i dont have $kaching  how?,0
205,it's too early ,0
206,"really, y did my gma get me an application for catos? I dont want to work!!! ",0
207,today is a day i'm not really sure what i'm doing..  poo its not raining any more  i like to watch the rains,1
208,"Gah, I love developing with Firefox + Firebug, but it sucks that it's such an unstable environment right now  new profile, here I come!",0
209,@InternQueen Working on a Saturday night...what a sad life we lead ,0
210,My lovely independent fabric / haberdashery / sewing machines shop is closing. Have no idea where else there might be one locally. So sad ,0
211,@SethApper I wish I could ,0
212,@jchristenbury It would be great if they would just fix the dual monitor issues I started having with .25 ,1
213,Hanging with the peeps todayyyy. Brothers sicky ,1
214,@MonkyMagic hey jimmy james we are doing well how about you? az broke hi collar bone ,1
215,extremely sad ,0
216,@maddimcgowan oh yeah. i remember the convesation haha. sucks about ur rehersal  but at least u wont be doing ur folio all 2moz. it sucks!,0
217,was not allowed at the boys club ,0
218,@rashadTBH LOLOL I ALWAYS GO MYER BUT NEVER SEE U ,0
219,@Aloemilk ...  at least keep an eye on twitter i will send you a link soon ,1
220,Blehhh testing started today -.- urghhh I hurt my knee and got a shot ,0
221,@rklarsson english. we ended up watching Animal House. first few seconds were scary enough for me. i'm a big wuss ,1
222,Sittin in the car as my clothes wash @ the laundrymat  mom cut me off frm washin clothes at her house complaining abt the gas &amp; wata bill,0
223,@BonDean I wish coffee was my magic cure ,0
224,Have a new 32Gb iPhone 3GS in my hands   It needs activating   Well chuffed! No queue at the store and I got a very nice discount.,1
225,@DewiAndita i also miss my HS friends ,0
226,"@nessa_d Totally sick lol. Yeah I took about quite a few, gotta upload them to FB, but it ain't letting me! ",0
227,"Moms on her wayback from the airport, gonna go pick her up, would show u photo's but iPhone she is broken ",0
228,"@robotnic Haha no i'm from Bournemouth, right down south! No we haven't been announced either ",0
229,Sowee. There's another one on weds if you don't spend the whole day at the laker event ,0
230,"@Hex29A Bah, TweetDeck kunde inte visa mitt sad face. ",0
231,"good morning. wanna stay home  but can't. bloody american time  oh well, mondays my favourite day anyway ",1
232,I have blood on my clothes thanks to all this nosebleeding.  Laundry time?,1
233,cant twitter picture messages   i guess i should get an iphone,1
234,phone is currently not working.  i havnt had a chance to pay the bill yet. ive been a busy bumblebeeeeee!,0
235,"@AshleeDaKlassic If it's sad, y are u laughin at me  Plus sized models gotta eat ya know!!!",0
236,Woah...just had the biggest urge to just cry...weird! Major mood swings are evil. ,0
237,"@tommcfly plz say &quot;Happy Birthday Or , Roni &amp; Mickey!&quot; plz plz plz ",1
238,"@pikestaff I think I like my Tank Annoying Devilsaur named Omnomnom. Though I miss my cat.  Oh, cat. ",0
239,"great day for a kids softball game...oh wait, it was canceled due to rain yesterday  now I'll actually have to be productive.",0
240,just realised my Beatles album was accidently thrown out with newspapers ,1
241,I'll have to re-do the whole project if i am. I deleted the whole of my uni work when i wiped my comp  by accident of course.,0
242,To @oceaneyze  it is going to cost lots ,1
243,the ting tings video for &quot;thats not my name&quot; is very disappointing ,1
244,•♥• Thinks shes in love  •♥•,1
245,just waking up. didnt sleep very well last nt ,0
246,I guess ,1
247,ugh...why am i still awake...somebody chat with me ,0
248,@autismvox for me they're not ,0
249,cant meet @marshaalia again cause she's going to singapore on saturday and im leaving 2mrw ,0
250,@rayonRichards: @CortneyGift  ,0
251,How the hell did I leave my house witout my damn wallet when I'm tryna go out tonite. Dammit! Gotta go back 2 Stone Mountain rite quick ,0
252,"has returned to the vacuum of culture, Boulder ",0
253,@alabamawhirly I'll be stuck inside the office all day today ,0
254,@soulrebelJ You got the palm pre? I was gonna get one but not enough $ right now ,0
255,@tomswenchie That must have something to do w my provider or w/e... Idk... ,0
256,i slept for 15 hours :S 3 days till all time low!!! im so excited!!the western bulldogs are owning the swans ,1
257,i have court tomorrow ,0
258,"going to Weatherford, TX for the weekend...moving the sister ",0
259,I think i might die ugh ,0
260,@nyappyrhiiee I'm sick of up the glen too ,0
261,i'm at home so tared  i just want to sleep a lot!,0
262,@darthvader Why'd you let Kahmunrah shake you off with *you've got too much going on*? You rock harder than him  #NATM2,1
263,My friend just &quot;one upped&quot; my news about the 2012 trailer by informing me that his dad died yesterday. :-\ ,0
264,"Got a 99 on the lit final, ALMOST got a car (too expensive  )and found out my sis totaled her car. Wonderful day...ish",0
265,@sarahveza ugh i cant anymore i work 12:30  to 5.  unless its not till after that time. ,0
266,im sorry mommy ,0
267,Heading back to LA ,0
268,is tired of the toothache ,0
269,@nathaliek I tend to burn myself a lot with my straightener in the morning ,0
270,Woke up at 6am with a temp of 101.4     I'll be damned if I let the sickness continue to the weekend!,0
271,I don't understand everyone's tweets cos I don't know what's happening  BACK TO SCOTLAND ON FRIDAY FRIENDS CATCH UP CATCH UP!,0
272,La Roux has to leak NAO. i'm playing out this sampler ,1
273,Not at the concert in chesterfield..  RED OWES US!,0
274,just had a tonne of sad news today ,0
275,Trying to make the last week of school the best. HIGH SCHOOL = ,0
276,I'm looking a film: HANNAH MONTANA THE MOVIE. I DID LOOK IT IN THE CINEMA BUT NOW I'M LOOKING ONLINE sorry miley  but i have to see you,0
277,I feell ill for some reason ,0
278,yawn... its only 10am and i am feeling the sleepy spell still ,0
279,"@CharlieKalech ahhh, we don't have the iPhone on orange uk, I had to buy it from a rival, couldn't get discount ",0
280,@maxgerber I think it was just mine cuz my computer is really crappy these days. When I went to leah's I fixed what mine couldn't fix. ,0
281,I don't know the difference between 'practise' and 'practice'. The thesaurus on word is being no help either ,0
282,Why must you talk to me? Better question. Why can't I just ignore you and dismiss you from my life? ,0
283,still 2 days 'til weekend ,0
284,@samiloveswayne i dont think theyll let me in  take pictures!,1
285,betrayed by my own pencil..stabbed me in the hand ,0
286,@DESS_DOLLA yes      (baby talk) can you tell ur mom to make me some fried chicken!!,1
287,@1capplegate aw crap i loved that show i was hoping 4 a season three    ,0
288,Damn. Looks like we're going to have to forget the gig on the 24th. ,0
289,"Im on work, its so boring   ",0
290,feels like that work wasn't good.  Cardio + abs as per week two.. but it just felt wrong.  My limbs were so heavy by the third set. ,0
291,@S3cond2none yea I know but hopefully u do get out early lol my sis is coming with us and shannon is not going to be able to go ,0
292,Aw  yearbooks make me sad. Only 4 more actual school days because apparently we have to come on wednesday too :/,0
293,mimimimi  #seb-day #seb-day #seb-day #seb-day #seb-day #seb-day #seb-day #seb-day #seb-day #seb-day #seb-day #seb-day #seb-day #seb-day,1
294,Ok i am off on road again . need food there are mice in my tummy - No time to eat ,0
295,@Jinxeh You should catch up and tell me if it's getting boring. ,1
296,well...so much for the fun the dad is coming back home ,1
297,@fatttmunkey Sad story  &quot;Colby went to see the Dream Works 3-D movie but was impressed by &quot;Up.&quot;&quot;; Lol she really does understand the world,1
298,@aileenwilliams well it doesn't look promising here for a while either ,1
299,"Ugh, today. ",0
300,Have a migraine with 8.5 hours more of work to complete ,0
301,I don't feel too great ,0
302,So proud everyone's retweeting my typo.  (changed),1
303,Caught my cat drinking outta Tomi's bowl ,0
304,Its not lookin too good today ,0
305,Spent her last $2.40 in a vending machine but has no chocolate. And I really wanted chocolate ,0
306,ugh i hate ppl. y do they hve 2 dissapoint. y do u need drugs 2 hve fun?? ,0
307,Ready for bike ride but outside smells of burnt tyres. Not healthy. ,0
308,"It's RYAN! Such a cute little 5th grader. Awww, now I want a hug  Aww, Emma looked cute with her little glasses &amp; her hair behind her ears",1
309,"so, when i first saw Ingeous Pouncer, i immediately thought of Demonic Apprentice (the one i made): cant fit it here ",0
310,Do not use twitter instead of doing your homework ,0
311,@dwgirl4life um... i don't know of anything... half of everyhing i watch is in re-runs ,0
312,@andyjohnsonuk Is that good then because I only heard bad things about it so I never tried it.  Or are you on about some album or summat?,0
313,idk wtf i'm doing with my hands. :L  not in a dailybooth mood today tbh   http://tinyurl.com/nrfb68,0
314,Leaving the Angels game. 4-2 loss. ,0
315,"@feliciabarton is absolutely killing it. i wanted to meet her, but i am on a sand dune outside the fence.   she is so stellar.",0
316,@CHEECHDM ugh... wish I didn't read that.... ,0
317,Need to go &amp; get ready for this walk!! Wellys out as its raining yet again ,0
318,It makes me sad when nobody texts me back. ,0
319,hates karma down. bakit kse nilagnat aq khpon?  http://plurk.com/p/wy4ju,0
320,my vacation is going too fast  Housecleaning day,1
321,restored my iPhone so i will start fresh with 3.0 2morow. yeah....cant imagine how boring its this &quot;phone&quot; to me right now  thank god 4 JB,1
322,mmmm..... gotta go! be back later.... uhm Lisa? r u mad at me or something? cuz ur not replying hun i guess we'll talk later ,0
323, cant come. My jet  not available on  THURSDAY.,0
324,thought i was ready. but i think i changed my mind  ,0
325,Just woke up. My back is FUCKED. What happened? I feel old. ,0
326,@amyeneal I'm jealous! I want to go!! ,0
327,@allureonfire I'm lookin @ the news and its not gonna b warm enough for the beach ,0
328,@brinstar But that takes time. :/ And effort. ,1
329,i want to take pictures &quot;just for fun&quot; again..... ,1
330,@ddlovato demi..i hate the feeling of being teased  now i know how you must have felt during school. im looking up to you. i love you.,0
331,"hope u guys have a blash 2morrow at da parade, I will b watchin from my tv ",1
332,im sleepy and dont want to do assignments ,0
333,@esmeralda737 wow! that was totally not necessary!  totally bum!  and all i do is love you,1
334,Is dying of a sore neck ,0
335,@Shadez I shall obliterate you!!! It took u so long to realise!!  #twpp,1
336,@egsa no plan currently ,0
337,Summer insomnia.. ,0
338,I made a friends album on Facebook. So far I only have 2 friends in it. ,0
339,@xmannyboix  I feel so bad ... Cuz I'm bored too... What city is this party in?,0
340,"Reminiscing, but it makes me sad. ",0
341,Cindy Sheehan came into the McCain office today...no day is dull in the office.  p.s. what is this Twitter being down for an hour tonight ,0
342,No He Doesn't ,0
343,My cat is missing   ,0
344,sad that runeaddict is down ,0
345,@LilyGirll I am  I am not even going to class tomorrow ,0
346,"dammit, I'm just about to be shaped to 64k internet speed ",1
347,Dad came in last runner for ages 60&amp;up in triathlon. Come to think of it. He was the last runner Overall. ,0
348,"Wow, i'm ridiculous honestly ",1
349,rather disappointed with  the new The Crystal Method ,1
350,Lots to do today. Tickets bought ... Need to clean.. and finish getting packed. Then it's off to the game!! Sad about Wautoma on Monday  ,0
351,when i am was landed at Bangalore international airport i bought pair of sunglasses &amp; *skinny* jeans) but i can't find it now ,0
352,Got caught in the rain waiting for a cab...in my awesome new gladiators too ,1
353,Trapped on this plane til storm passes...   weird not having anyone waiting for me here ,0
354,@nayes1982 Noticed that my top on Wed night was clearly see-through once the flash of the camera went off.... ,0
355,earth science regents todayyy!!  can't wait until friday...FREEDOM.,1
356,i dont know what i am going to do. ,0
357,"In paper cut city...clicking my red heels, wishing I were home in bed ",1
358,Work is boring. No samples to constantly test for 5.5 hours ,0
359,Im feeling REALLY sick..i hope i feel okay on sunday  !!!,0
360,Wua..counting down de hours left in kl.. ,0
361,Came back from a restaurant; yuck. I miss booboo. ,0
362,I hate Javascript.We're srudying it now in computer class.It's soo confusing especially whne you are tired.     xx,0
363,"@iamdiddy  soooo tired,  not feeling the love today!  ",1
364,recuperating. totally missed the beach today ,0
365,I will mis my dormmates ,1
366,@meghanmcd  we fail. rofl.,0
367,Ugggggg. Hurricane season starts tomorrow. NOBODY understands that during a hurricane I am usually incommunicado. ,0
368,is home.  safely... but hungry ,0
369,"wayyyy too tired to do anything, can't be bothered going to work  and i think i've figured out tweetdeck!",0
370,Waking up and wishing that I had just had a really bad dream last night instead of loosing family ,0
371,Holy shit. 22 minutes left in National Donut Day! Not gonna make it. ,0
372,"@v_rey I missed it too  But I heard it was Terry and he was hilarious, as always!! I noticed they have links of it posted on DCO",0
373,"Im back from school, gosh. Whut a day! ",1
374,sickk! last jazz class of the year  studying..,0
375,"@Anant they don't have any unlimited plan for GPRS, they charge 30ps/50kb which is expensive for me ",1
376,@filmnoirgirl yeah! i wanna see my 2 girls and have a good catch up with you both. I miss yous!  xxx,0
377,@DMB_ don't laugh  I was about to hit it and it started flying at me so I dropped the book and ran out of the room. I'm in the living room,0
378,Got a headache... ,0
379,@mirkwood YUSH YOU ARE ,1
380,poor Brian Busby for KMBC 9 News in KC Missouri.. he's gay as christmas.. !   poor lil booger..,0
381,Oh and my gay parents sold my cat ,0
382,cant sleep and has to take nyquil jus to get enough sleep mayne ,0
383,Hates her accounts getting hacked ,0
384,@cdewaal its really not fair.. For those if is without an iphone. ,0
385,can't believe my little girl will be 4 2moro!   it goes WAY too fast!!,0
386,@happylovesChuck I have stopped twiving!  my heart hurts,0
387,My dad hasn't called me yet!! ,0
388,"is one active download (1 day, 8 hours remaining). NO WAY!  http://plurk.com/p/wxdsy",0
389,boohooooo.. i have a test 2moro..got to read biology. idk anything about birds  .. so.gotta.go.now. bye.  &lt;3,0
390,exams almost finished. i am finished    ,1
391,@Change_for_Iran shite ,1
392,my bro said he would teach me guitar for my birthday 3 years ago and he still hasnt taught me ,0
393,gig was great. Cant get new frontier out of my head now. Sooo tired though. About 3 hours sleep  adam duritz is a king x,0
394,"@garymeyerza oh shit, I've just realised there's a link to the song on my blog...sorry hun ",0
395,@bill_hader you never update! ,1
396,Is home alone because the wife is at project grad ,0
397,I miss my bestfriend  she is at the river.....wish i was there!,0
398,im sitting in bed doing emails  thats the bad part the good part is my gorgeous wife is next to me ;)!,1
399,Omg I'm so crying right now WHY WHY ORLANDO YOU WAS SUPPOSE TO WIN  Magic suck azz I misss the SPURS!!,0
400,Going to bed.. Party wasn't so fun.   I miss my parnets. sighs. But they will br home tomorrow. YAYZ!!!,0
401,"Lunch coming up, going to have tuna. Push-up reps after that, then maybe crunches. Out of protein powder. ",1
402,aarrrggghhh soo frustrated my new songs wont go on my ipod ,0
403,@Jennybeeean Haha probably. Well he's getting too many followers lol he'll never see mine and I don't want to annoy him ,0
404,@aDUHnr yeah i hope you do get a scion cause igby is still broken and i might be driving a rental soon. ,0
405,My left rib hurts ,0
406,i am guna miss him tho  damn no more chilln n etv and snappin pics n class. oh da memories,0
