,target,text
581088,0," Airport Express doesn't rock enough to allow wireless scanning with the Canon pixma MX310, but otherwise it's wireless goodness."
472836,0,dang. new battery stopped working. 
62691,0,"@Steve_Buscemi Umm, except for the Brad Renfro part. I liked him, too bad. "
539208,0,"Am watching some Family Guy, cos I can't sleep "
581767,0,"@rovieetorres Dude, i was looking for youu after schoool! You going to rosss? Gosh , im never going to see you again! Lol, howww sadd "
149227,0,@sunshine_ Its killing me.. Birthday's on Tuesday 
316445,0,aus top model sucks without madison  haha cassie is still pulling out her excuses...
309783,0,2:30 in the morn..my sick baby finally sleeps 
581979,0,"@hollymadison123 Holly, I loveee you, is the GND gonna still be on since Kendra's gone? "
76393,0,"christianne amanpour: what i want is her intellect, but all i've got is her hair   flat iron fail"
357278,0,@beauty1970 very cool. I won't get to see ya'll b4 I go 
522804,0,@ work not feeling well 
498271,0,@cataplam y qe hiceeeeeeeeeeeeeeee  ?
534290,0,the truth will set u free 
590654,0,Holy moly! This weather is crazy nuts!!! 
795038,0,@CheryleLapitan did u order it from nba.com? my chip shirt came but not the hat yet  lol
406040,0,@MandyPandy32 don't cull me!! 
190515,0,"No beach 2day  They promissed sunny &amp; warm weather - it's clowdy, windy &amp; cold."
326516,0,Hope 'Crimewatch' doesn't give me nightmares tonight 
249084,0, I miss the blue highlight when I click on a tweet in #tweetie
191126,0,"Had a horrible night, too hot couldn't sleep, even on top of the duvet "
359027,0,Dance Gavin Dance are soo good. Although I wish Johnny Craig was still in the band  He's def better than their current singer.
291697,0,@stevecrowther Yes - I like your parrot. Drawing is the one thing I can't do that I really wish I could 
562116,0,"Really busy, feeling lousy "
184769,0,The suckiest thing about growing older? Losing people  RIP Ipo Liz...
21098,0,"my XSD generated class is failing, &quot;unable to generate temporary class&quot; "
38292,0,"just got home from CA. Had an AAAMMAAAZING time, don't want to go back to the real world "
9761,0,"im lonely  keep me company! 22 female, Seattle - Washington"
773884,0,"@SingmySorrow i know, i soo wanna go  my brother got me free tickets to see it this weekend so i guess i can wait"
480679,0,I need a nap 
582002,0,why can't I have a twitter application on my blackberry? 
723909,0,nobody is updating anything exciting  and my twitbuddy isnt online lol  @Alexislovesjb lol
371457,0,my nail broke  waiting for foooood!
577948,0,restless.  I actually miss doing reactions 
502700,0,Tried out 1 vs 100. I got a 14 question streak until I forgot that &quot;Earth&quot; was the 3rd from the sun 
239830,0,"@Elliethinks i know how you feel, i want summer to come nowww  "
146785,0,@xlad I'm sorry! Had 2 nights with little sleep so i was shattered last night 
574596,0,"Wowww, I have nails in both of my back tires "
127704,0,Mighty disappointed with myself..forgot the home keys in office. Realized when I got home. Going back to office now 
521594,0,"bah, so sleepy. i think this counts as serious fatigue. skipped yoga last night and went to bed early. still tired today. "
223321,0,I am spending too much time at 3 am talking to Helen  now it's a quater past 4 I miss the UK Helen  (worth it though)
518481,0,they could have given me the deluxe model  http://lnk.ms/0LTPb
598797,0,tiring day ever. i cannot move a muscle anymore. 
281025,0,got hit with the ball in rounders  trying to catch the ball...
82879,0,I am regretting eating that Bacon Cheese Ciabatta Burger! (tummy hurts now)  
793670,0,twitter fail.  Craisins are oily. does this make sense?
373636,0,"gone to bed, dont feel good "
316760,0,"@dmeeno Ahhh shame, i could go some sushi right now, but that would involve me moving to get ready to go into town. "
244841,0,cell...NOT good..fell in the toilet last night 
144180,0,A bit bummed this morning....i dont get guys! I give up on the male species 
762161,0,@hannughh for me its always the damn mosquitos. and i must be allergic cuz i get these huge monster sores whenever one bites me 
455359,0,Hello!! I'm watching role models... Not that funny... :| 
457364,0,"@jabird654 Nope. Wish there were, just to give to some reg Rev folks who weren't there today &amp; will hear everything secondhand "
719269,0,@TayloRAWR lesbian movies are sooo sad.  but funnyy! Hahahah!
722260,0,@MoreLikeMelissa no i didnt! 
379419,0,I can't get over you 
744286,0,@FlissTee i am fine thanks - had a lovely weekend which makes all the difference lol - not looking forward to getting up early again  lol
187024,0,...There is mold inthe hookah... 
299036,0,A great hard training weekend is over.  a couple days of rest and lets do it again!  Lots of computer time to put in now 
511954,0,Is not happy that he is up so early  stupid driving lesson!!!
47771,0,@papelpicado That sucks.  
346217,0,Pretty down in the dumps. And its my own fault  I'm a chump sometimes. Love you babe
787722,0,step away from my books  no wonder my books always getting missing
712650,0,i can't believe it doesn't come out until November 6th...such a long wait 
200994,0,@samara_yohai I think my stitches r too small  haha meh! I'm excited to do the beach scene one tho!
425963,0,cannot get kersal massive out of my head! And has a huuuuge bruise on my head  fun night at Cam's though! xx
339975,0,@PeterOlson I'm dead broke 
174119,0,"@dollymix184 Wow, I've officially lost all faith in Britain, looks like our wishes weren't met, sadly "
45862,0,had a great birthday... but didn't hear from the person that means the world to her... i hope he's okay. 
122369,0,A hearthquake in cali............scared!!! 
395157,0,"@swatkatt thts sautan. tommorow i have computer and bangla grammer, didn't really study thiugh "
508487,0,I'm starting to get used to the fact that i leave in 2 days  i'll miss you lots
555088,0,@squinkee oh no   did drew win then?
83915,0,2manypancakes 
101619,0,Eating quickly+chasing brother around apt=pukies for omlet and carpet cleaning for me 
557000,0,*sniff* Why can't it be sunny today? I get more done when it's sunny 
458686,0,I miss the suns  &amp; the cavs.
668258,0,I Might be epileptic. 
749384,0,@nuime  YOU SCARES MEEE
266095,0,dreading tonight 
736031,0,Now I'm ok but Ruby's tummy hurts.  I tried to rub it for her but she didn't want me to. We're both so tired. Must sleep.
491249,0,Waiting outside a locked door for dinner 
129350,0,"So tired and so hungry. I hate getting lab work done, especially when it requires me to not eat before  Can't wait til it's over!"
520245,0,@frankcworld I am lost. Please help me find a good home. 
747617,0,"anyone know if selena is still in ny? hmmm im wondering if she'll go to this concert or tomorrow's...oh no wait, shes back in LA. "
166634,0,@inflight1 that sucks mama 
777352,0,@KimberlyC__ do they have wireless internet in DR? 
794737,0,I got an 1890 on the SATs...not bad for cramming in 3 hours of studying the night before haha. And Delpo lost. I put money on him too 
188854,0,@Suspenseful i'm really hot &amp; tired. 
504431,0,@Shopaholic_Mama I seem to remember a way to ask for a reconsideration but they usually tell you sorry nope.  google is selfish with PR
139414,0,lost a follower today  All new followers should definitely say hi though!
704577,0,Can't wait to start this 50 hour work week 
34590,0,is devastated hes never going to be there again 
402159,0,Bloody iPhone! Cal on the other hand has beer! 
343071,0,the chaser is not funny anymore 
427322,0,@OfficialAS haha yeah I remember those days. FOLIOS ARE INSANE! they're mean to make people do them 
170874,0,Twitter is slowing me down today. 
295361,0,@LycoLoco  Aw man. I totally would have wanted to. I've got work til midnight.
312480,0,"@rem ya, I'm more into trying to fix the incorrect rez images, which uses up a lot of bandwidth and memory for Twitter desktop clients "
199483,0,is pissed she missed The Tonight Show last night 
238116,0,where is my strawberry cake? 
696953,0,rain rain go away 
52457,0,"@naughtyeliot @naughtyeliot naaa im in england u tease not fair, goes away and sulks "
209944,0,@redyuu A kid in your violin lesson or something! 
121026,0,i got my maths gcse 2day 
453682,0,@lovexmonsters Can't see it. 
534363,0,Aw man! My laptop battery died on me. I look in my bag only to find out i forgot my power cord at home 
795992,0,@michellekl smart thinking. But I still have a year after October! 
14166,0,Wondering why the NBA is NOT playing in my favor today..BOTH of my teams lost today.   ohsa wellsa...on to the game tonight @ 8!!
718801,0,is sitting here lookin oooh sooo pretty...with nowhere to go!!  LOL 
173376,0, my monitor won't turn on. This can only be the work of my mother.
695359,0,feeling better today still tired though 
217313,0,Wish I could go to try and meet JLS again tomorrow  oh well! Another time!
150679,0,"DLP bulb just burned out, and of course all the stores close at 9 PM.    WoW, here I come!"
730621,0,Men really aren't shit...I just can't do the american boys. Lord knows I try 
64073,0,GETTING RAINED ON! For hours jus sittin &amp; gettin rained on Watchin the staten island high school track championship im such a gud auntie 
38261,0,is soooo exhausted... when will all the projects and papers end 
2540,0,No squirrels today  They must be hiding.
247915,0,Had a very lazy weekend. Sunburnt now 
501798,0,"@sarah_marina Yep, yep. So, you're feeling any better or still the same? "
729828,0,"i got introuble by mummy again  i went for a shower in her bathroom and the mirror got all fogged, so i drew all over it :L"
668600,0,@erikaANGEL please do!!! i almost cried when i found out i couldnt go  my friend is freaking meeting her and david im so flipping jealous.
483671,0,UUGGGH! cleaning my house...again! i hate dishes they never stop!  i totally want the robot from the jetzins (i think thts how u spell it)
339392,0,@JoelMadden lol thought you were going to sleep. sorry to hear you don't sleep well 
387336,0,"@iHeartKayla  we`re not bad naman , are we ?:-&quot; )"
599033,0,my jasper says relax tshirt hasn't commmeee 
320056,0,I'm so tired of this! I just  want school to end and I don't have to see their stupid faces again... 
648327,0,"@doctor_s There's no Wawa and 7-11s in Raleigh.  The closest thing we have here is Sheetz, but non conveniently located for  me."
536388,0,As a hard day of DIY comes to a close I take comfort in the knowledge  that I get to do it all again tomorrow 
583754,0,ugh... i will never eat a fancy cake again 
560951,0,"@m0shii because i'm DONE WITH THIS SH- mark tomorrow morning, gotta stop fb/twitter/bloggin "
666202,0,@Blindfaith73 It's 92 here with a heat index of 101. I hate summertime. 
647376,0,Athens Georgia landmark Georgia Theater is on fire!!!!!!!!   
724197,0,"When life hands you lemons you should make lemonade, right. But what if you feel that making lemonade won't make a difference? "
276105,0,@allleftout I wish I was in Canada right now 
212813,0, line up for the dump..  http://twitpic.com/6a9n0
795232,0,Im trying to create a facebook account but my dumb ass school won't let me!!!!!!!!!!! 
551543,0,http://bit.ly/32nQRx  I MISSED CAPTAIN PICARD DAY 
337772,0,I drank to much ice tea that i cnt fall asleep! ! 
689519,0,so hungry! but there's no food 
212630,0,i bet you susan boyle is gonna win... 
406550,0,@fatalrecluse  Not good. Mine's been behaiving. Loads of people have had problems though. It's all over the EA forums. :S
738510,0,@heycassadee i saw you guys in concert on 4/25 you were amazing!! i almost caught ur guitar pick but the guy beside me caught it 
600916,0,Not having a great day at work 
523615,0,wants another pug  xx
159402,0,And so the last day has dawned on our adventure.  looks to be a good'un. Just packing everything away for the last time.
406395,0,Trying to focus &amp; not be sad that I am missing out on April's wedding 
272556,0,Headche 
534532,0,@Hardygirlchelle oh girl hope you're feeling better now  I so wish I could be there...
297842,0,Off to sleep now. Exam in the morning... crap. 
785849,0,Just saw the worst player ever on 'The Weakest Link.' She voted off someone who already left in the previous round. She is Nigerian 
716377,0,i want a friend who makes brings me home and makes me turkey sandwiches when im drunk. 
91035,0,"@stolenrain I would but that would be so arrogant, and yeah. "
23964,0,enjoying my last day of break-sorda. back to being a teacher in the morning 
76553,0,I keep getting email petitions... is there any recorded example of one those really making a difference? 
397410,0,maybe @sawplove will feel better if i tell her i just saw one of those donkey horses painted all zebralike in tijuana...  
90205,0,sry. for mi out burst..i wish jeydon was younger 
433516,0,no manny mania for me this year 
279255,0,Myyy hands are so cold. 
228259,0,Suddenly freaking out about grades 
759475,0,"@JohnLloydTaylor OMG!! thats so cool, i wish i can be there too so i can see all of you in concert!! "
621187,0,My girlfriend has burnt her leg with boiling water rather badly so we've had an evening of frozen peas and bandages. Poor little thing! 
244027,0,Studying before work is so so crap 
706051,0,"back from the ocean, good to be home! now hear there's a tornado warning "
74739,0,@Rowdyeh Well it supposed to be getting sunnier here not duller  Oh well nothing really surprises me with the weather in Britain haha x
643518,0,DON'T SHOW ME THE BLOOD PLEASE!! and yes OMG max smokes!!! why do all the nice guys smoke ugh 
536227,0,Playing Call of Duty:World at War on single player because XBOX Live is down. 
766582,0,@letoyaluckett glad your having funn here! Wish I could see you be sadly I'm getting my hair did 
556388,0,@aulion i asked aqila to sent roger's number to you and i was about to watching 17 again but there's no seats left 
431773,0,@NovaCrash Can't watch while I'm on the radio  But hey - awesome!
277345,0,Bored bored bored... And just my luck bored.com doesnt work in my work 
711829,0,I meant sick 
260288,0,"@Yungmarvingaye  MaYbE NeXt TiMe, We HaVe All SuMMa"
163606,0,@HospitalityMan  got the laptop but no golden rings  This weekend's job is to get it all set up - oh joy
36961,0,just had to take a 140 question test.  now in class.  bye bye spring break. 
389953,0,at black head in galway waiting for the volvo ocean boats. where are they?? disappointing lack of tweets on this 
414436,0,ADM I'm in so much pain who ever knew having a person crash into you with a skateboard would hurt so bad 
705216,0,Im so tired. I just wanna go home lol 
19318,0,@amberrhodes69 she said she can't see posts cause her twitterberry isnt working 
602856,0,"iPhone OS 3.0 not so great here on my 2g phone, jerky scrolling and performance issues just like first OS 2.0 updates "
293356,0,@jorgesalvador I know! No Snake though 
563479,0,BLAH! 3.0 pushed back till the 18th...  http://www.apple.com/sg/iphone/softwareupdate/ (via @u4eah). IN SINGAPORE (/sg/) NOT U.S.!!!
799745,0,@the_other_rickp i know  i especially feel terrible for ryan o'neal who just proposed to her. such a sad day
745100,0,@ShaylaKersten Same temps here in Indy. 
178064,0,@siwhitehouse Didn't work for me  Except when I used the word autofollow and got followed by an bot selling an autofollow program.
599407,0,Swapped vehicles with @charlaalma for the day. Her car lacks Sirius 
442252,0,"@tnysmth yea but his meet is at 5pm on Monday over an hour from my house, can't make it because of work "
620301,0,not doing the show friday   .  i'll probably just be at my grotto this weekend. writing writing writing rewriting.
689463,0,"is awake, no plans "
504051,0,@trickynumber7 dude! im SO down! those chees fries were awesome!..if only you werent 500 miles away!  
221146,0,Que pereee 
455964,0,sad that runeaddict is down 
387798,0,Wow i fail at parallel parking. 
595019,0,Ugh wth my stupid phone only sends me the tweets it wants to or something...not cool 
639920,0,So basiclly he inspired me to cook. Cause he loves the stuff i whip up though nobody else does 
60992,0,Getting ready for Church!!!!!   YEAH!  and it's raining 
660342,0,"Should apparently read the newspaper, or talk to Jon more. . . Did NOT realize the Stones Throw was actually closing.  FISH BOWLS!!!!! "
252026,0,lolwat prisoner of azkaban is playing AFTER goblet of fire? is it backwards day? no one clued me in 
38925,0,"i didn't go to school today, i felt sick    it was the first day back haha i didn't get homework yay!"
109881,0,"Seminar in a stuffy room in Genoa, while its bautiful and sunny outside "
785689,0,"@New_Lilo Aww. Me likey ur name! but, If I can't I won't. "
218012,0,"Planning to see the Star Trek on Imax at 12 am tonight, because that is the only show on IMAX! "
100690,0,Ugh why can't i find someone to go to the playoffs with 
708886,0,Defeat - I (2265) was beaten by mrwanderlust (1676) 
353355,0,"@somic Yup, bad is then that you try to go and find the file based off of one &quot;just downloading it&quot; "
523082,0,"It seems to be impossible to sync tweets to a Facebook page. Having Twitter set a user's status, yes, but a page: no. "
580312,0,@MelissaStetten I know the feeling. Our dog finally caught &amp; brought in the rabbit she's been chasing for weeks--too bad it was a baby 
95596,0,"@angelaclashes Omg, hope it's not too bad!  I'll visit you after this craziness is over!"
571286,0,Grrr..today'ss the @Lakers championship parade and me and @chchcholo aren't there   
625610,0,I need a friend right now 
417321,0,Looking in the mirror; I have a red spot where my piercing used to be. It's been an hour w/o it &amp;&amp; I feel weird.  LOL!
265348,0,my throat hurts so much 
606664,0,"And I return to photoshop and my 4,500 images to edit.  Oh what a day. "
5198,0," I Still Cant Find My Phone , And I Cant Call It , Cause Its Dead"
295063,0,Not looking forward to doctor appointment tomorrow 
155220,0,I just disappointed a friend. Fuckkkkk  Nothins worse than that.
600613,0,Listening to Westlife and grooving in my bed because my back really hurts!  Sodding wooden floor and wii machine!
231463,0,@cherylagogo RIP Sweet Prince 
365748,0,nobody texts me nomore   im sooo lonely ♫
1886,0,Downy weather  Where's the summer?
776070,0,is revising for her english final which is tomorrow. 
124789,0,@JoLagerlow  Why did it suck?
419664,0,"Ugh, he hasn't updated in forever!!!  that sucks! I'm gonna e-mail him!"
387348,0,I can't believe it's snowing... Oh wait it's Calgary. yes I can. 
64925,0,"@trohman hey Joe, how should I start to play guitar? with acoustic guitar or electric guitar? Maybe you could help me with this doubt "
30072,0,"A iced hazelnut coffee from McDs sounds great right about now, too bad I've given up caffeine.I guess I'll have to stick to my ice water "
4450,0,@DanceofLife hiya which slides do you mean? Your contact photo in B/W? Had minor crisis too and had to replace all contacts so no photos 
487029,0,And Monday just got better...FLAT TIRE! 
310027,0,"@robten can't check it out, been asked 4 password "
106582,0,"Now I'm watching The Office finale.... with all these finales, this is the last TV Saturday for a while. "
11536,0,is not going to Jeanette's house... 
474192,0,@rachaelblogs I feel rather grey inside at the moment too  time to snap out of it.. coffee needed!
693255,0,"I feel like something bad is headed my way, like when you see an Asian behind the wheel of a car... "
600759,0,doesn't wanna leave halls 
271004,0,Angels and Demons was cool!  in work now on a bank holiday! 
